horse_id,父,母,母父
2023104603,レイデオロ,ウェストレー,オルフェーヴル
2023106020,エポカドーロ,チャリシー,ハービンジャーHarbinger(英)
2023105281,サートゥルナーリア,ギモーヴ,ハービンジャーHarbinger(英)
2023105596,タワーオブロンドン,スコッチリール,ジャスタウェイ
2023103771,ニューイヤーズデイ,グルファクシー,ハービンジャーHarbinger(英)
2023101579,ホッコータルマエ,テーオーパートナー,ヘニーヒューズHenny Hughes(米)
2023106979,クリソベリル,クルークハイト,クロフネ
2023101987,レーヴミストラル,ダンツスウィフト,ダイワメジャー
2023103240,マジェスティックウォリアーMajestic Warrior(米),スノードリーム,スウェプトオーヴァーボードSwept Overboard(米)
2023103598,ニューイヤーズデイ,レッドカチューシャ,ディープインパクト
2023104868,サートゥルナーリア,スマートルビー,ゼンノロブロイ
2023105005,Frosted(米),オーケストレイトOrchestrate(米),Tiznow
2023105862,ベンバトルBenbatl(英),ウインファビラス,ステイゴールド
2023100926,フィレンツェファイア,サンドスラッシュSandslash(愛),Holy Roman Emperor
2023106657,ウインブライト,アースヴィグラス,サウスヴィグラス
2023102386,ミッキーグローリー,タニノジュレップ,コロナドズクエストCoronado's Quest(米)
2023102739,モーリス,ラルシュドール,シンボリクリスエス
2023103379,ブリックスアンドモルタルBricks and Mortar(米),キスミーワンス,ネオユニヴァース
2023103545,サトノインプレッサ,ベガスナイト,コロナドズクエストCoronado's Quest(米)
2023103431,Zarak(仏),シーユーオールウェイズSee You Always(英),Siyouni
2023105893,ウインブライト,リゲイン,ショウナンカンプ
2023106180,ブラックタイド,ビジネスライク,カジノドライヴ
2023106822,フィエールマン,アイルビーバウンド,タニノギムレット
2023107349,サトノダイヤモンド,レディホークフィールドLady Hawkfield(愛),Hawk Wing
2023109090,シルバーステート,クエルクス,フジキセキ
